age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,arms_category,Year
18,M,White,Wake Forest,NC,False,attack,Car,False,Letal,2015
38,M,White,Beacon,NY,False,other,Car,False,No Letal,2015
21,M,Black,Cerritos,CA,False,attack,Car,False,No Letal,2015
35,M,White,Kearny,AZ,False,attack,Not fleeing,False,No Letal,2015
58,M,White,Constantia,NY,True,attack,Not fleeing,False,Letal,2015
48,M,Black,Harvey,LA,False,attack,Not fleeing,False,Letal,2015
31,M,Black,Fridley,MN,False,attack,Car,False,No Letal,2015
47,M,White,Tacoma,WA,False,attack,Not fleeing,False,Letal,2015
34,M,Black,Landover,MD,False,other,Car,False,No Letal,2015
30,M,Black,Fort Worth,TX,False,attack,Car,False,No Letal,2015
28,M,White,St. Augustine,FL,True,other,Not fleeing,False,No Letal,2015
28,M,Black,Jacksonville,FL,False,other,Foot,False,Letal,2015
40,M,White,Rancho Santa Margarita,CA,True,other,Not fleeing,False,No Letal,2015
46,M,Other,Honolulu,HI,False,attack,Not fleeing,False,Letal,2015
37,M,White,Portage,MI,True,attack,Car,False,Letal,2015
53,M,White,St. Augustine,FL,True,attack,Not fleeing,False,Letal,2015
41,M,White,Rockford,IL,True,attack,Not fleeing,False,Letal,2015
42,M,White,Sacramento,CA,True,attack,Not fleeing,False,No Letal,2015
45,M,Black,Harvey,IL,False,attack,Foot,False,Letal,2015
34,M,White,San Diego,CA,True,attack,Foot,True,Letal,2015
18,M,White,St. Petersburg,FL,True,attack,Not fleeing,False,Letal,2015
27,M,White,Ruidoso,NM,False,other,Not fleeing,False,No Letal,2015
54,M,Hispanic,Arlington,VA,False,attack,Not fleeing,False,Unarmed,2015
35,M,White,Cabot,AR,False,attack,Not fleeing,False,Letal,2015
17,M,White,Grand Junction,CO,False,attack,Other,False,Letal,2015
29,M,Black,Lancaster,PA,False,attack,Not fleeing,False,Letal,2015
38,M,Black,Owensboro,KY,False,attack,Not fleeing,False,Letal,2015
26,M,Black,Omaha,NE,False,attack,Not fleeing,False,Letal,2015
